anahtar_kelime,toplam,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",İbadet ve Kulluk,"Aile, Çocuk ve Nesil","İman, Tevhid ve Ahiret","Ahlak, Erdem ve Söz","Ramazan, Oruç ve Bayramlar","Vatan, Millet ve Tarih","Sabır, Tevekkül ve Manevi Olgunluk","Ekonomik Hayat: Kazanç, Zekat ve İsraf","Kandiller, Muharrem ve Mübarek Geceler",Peygamberimiz ve Ashab,İslam Coğrafyası ve Küresel Meseleler,"Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","Afet, Kriz ve Sağlık",Kur'an-ı Kerim
kardeşlik,35,16,1,1,0,1,10,2,0,1,1,2,0,0,0,0
dua,34,1,12,2,1,1,2,2,4,0,2,2,2,0,3,0
gazze,30,3,1,2,0,1,5,1,0,1,0,3,12,1,0,0
sabır,28,2,0,0,1,0,2,1,14,0,1,2,1,0,4,0
şehitlik,26,1,0,0,0,1,0,23,0,0,1,0,0,0,0,0
kurban bayramı,25,1,2,1,0,0,20,0,0,0,0,1,0,0,0,0
aile,24,3,0,18,0,0,1,0,0,0,0,0,0,2,0,0
merhamet,23,12,0,3,0,4,0,0,2,0,1,1,0,0,0,0
dayanışma,23,10,1,0,1,0,2,1,0,2,0,1,1,0,4,0
ramazan,23,4,2,2,0,2,6,1,1,0,2,0,1,0,0,2
takva,21,3,0,1,2,3,10,0,1,0,0,0,0,0,0,1
salih amel,21,0,0,1,7,2,1,1,8,1,0,0,0,0,0,0
ibadet,21,0,11,0,1,0,4,0,2,0,2,0,0,0,0,1
iman,21,1,2,0,8,2,0,3,2,1,0,1,0,0,1,0
vatan sevgisi,20,1,0,0,0,0,0,19,0,0,0,0,0,0,0,0
israf,20,1,1,3,0,1,0,0,3,7,0,0,0,3,1,0
helal kazanç,20,0,2,0,0,4,0,0,0,13,0,0,1,0,0,0
hesap günü,20,1,0,0,15,1,1,0,2,0,0,0,0,0,0,0
kul hakkı,19,4,0,2,1,6,0,0,1,5,0,0,0,0,0,0
tevekkül,18,0,1,0,1,0,0,1,9,0,0,1,1,0,4,0
güzel ahlak,18,1,1,0,4,7,0,0,2,0,0,2,0,1,0,0
gençlik,17,0,1,6,2,1,0,0,0,1,0,0,0,2,3,1
namaz,16,0,14,0,1,0,0,0,0,0,1,0,0,0,0,0
tövbe,15,0,0,0,6,0,0,1,1,0,6,0,1,0,0,0
oruç,15,0,3,0,0,0,10,0,0,0,1,0,1,0,0,0
tevhid,15,2,0,0,10,0,1,1,0,0,0,0,0,0,0,1
yardımlaşma,15,6,0,0,0,3,1,0,0,4,0,0,0,0,1,0
ramazan bayramı,14,2,0,1,0,0,10,0,0,0,0,0,1,0,0,0
paylaşma,14,5,1,0,0,0,8,0,0,0,0,0,0,0,0,0
üç aylar,14,0,2,0,3,0,4,1,1,0,3,0,0,0,0,0
ahlak,14,4,0,0,0,4,0,1,1,2,0,0,0,2,0,0
kulluk,14,0,5,1,3,1,1,0,2,0,1,0,0,0,0,0
infak,13,1,0,0,0,1,2,0,0,9,0,0,0,0,0,0
mağfiret,12,0,1,0,2,0,4,0,0,0,5,0,0,0,0,0
hicret,12,2,2,0,0,0,0,0,0,0,2,6,0,0,0,0
birlik ve beraberlik,12,5,0,0,0,0,1,6,0,0,0,0,0,0,0,0
ahiret,12,0,0,0,9,0,0,1,2,0,0,0,0,0,0,0
filistin,12,1,0,0,0,1,0,2,0,0,0,0,8,0,0,0
sıla-i rahim,12,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0
adalet,12,7,0,0,0,1,0,0,1,1,0,1,1,0,0,0
