satir,durum,skor,eski_sure,eski_ayet_no,yeni_sure,yeni_ayet_no,dipnot_no,dipnot_ref,csv_tarih,hutbe,metin_kaynagi,esleme,alinti
2,dogru,1.0,Hicr,99,Hicr,99,4,"Hicr, 15/99.",15.07.2016,15.07.2016 HAYATIMIZI İBADET KILABİLMEK,metinler,baslik_eslesti,Sana ölüm gelinceye kadar Rabbine ibadet et.
3,dogru,1.0,Hicr,99,Hicr,99,1,"Hicr, 15/99.",08.02.2019,08.02.2019 İBADET: KUL OLMA ŞUURU,metinler,baslik_eslesti,Sana ölüm gelinceye kadar Rabbine ibadet et.
4,dogru,1.0,Hicr,99,Hicr,99,2,"Hicr, 15/99.",04.06.2019,04.06.2019 RAMAZAN BAYRAMI,metinler,baslik_eslesti,Sana ölüm gelinceye kadar Rabbine kulluk et.
5,dogru,1.0,Hicr,99,Hicr,99,1,"Hicr, 15/99.",22.05.2020,22.05.2020 BİR ÖMRÜ RAMAZAN GİBİ YAŞAMAK,metinler,baslik_eslesti,Sana ölüm gelinceye kadar Rabbine ibadet et.
6,dogru,1.0,Hicr,99,Hicr,99,2,"Hicr, 15/99.",02.05.2022,"02.05.2022 BAYRAMIMIZ KUTLU, GÖNLÜMÜZ İMAN VE NEŞE ",metinler,baslik_eslesti,Sana ölüm gelinceye kadar Rabbine kulluk et.
7,dogru,1.0,Hicr,99,Hicr,99,3,"Hicr, 15/99.",12.08.2022,"12.08.2022 İMAN, SALİH AMEL VE GÜZEL AHLAKLA KEMALE",metinler,baslik_eslesti,Ölüm sana gelinceye kadar Rabbine kulluk et.
8,dogru,1.0,Hicr,99,Hicr,99,3,"Hicr, 15/99.",05.01.2024,05.01.2024 RAHMET VE MAĞFİRET İKLİMİ: ÜÇ AYLAR,metinler,baslik_eslesti,Ölüm sana gelinceye kadar Rabbine ibadet et.
9,dogru,1.0,Hicr,99,Hicr,99,1,"Hicr, 15/99.",20.09.2024,20.09.2024 PEYGAMBERİMİZ (S.A.S) VE ŞAHSİYET İNŞASI,metinler,baslik_eslesti,Ölüm sana gelinceye kadar Rabbine ibadet et.
10,dogru,1.0,Hicr,99,Hicr,99,3,"Hicr, 15/99.",27.12.2024,"27.12.2024 HATA YAPANLARIN EN HAYIRLISI, HATASINA T",metinler,baslik_eslesti,Ölüm sana gelinceye kadar Rabbine ibadet et.
11,dogru,1.0,Hicr,99,Hicr,99,1,"Hicr, 15/99.",28.03.2025,28.03.2025 RAMAZAN’A VEDA EDERKEN,metinler,baslik_eslesti,Ölüm sana ulaşıncaya kadar Rabbine ibadet et.
12,dogru,1.0,Hicr,99,Hicr,99,1,"Hicr, 15/99.",22.08.2025,"22.08.2025 İBADET; RUHA SEKİNET, TOPLUMA HUZUR VERİ",metinler,baslik_eslesti,Ölüm sana gelinceye kadar Rabbine ibadet et.
13,dogru,1.0,Alak,1,Alak,1,1,"Alak, 96/1-5.",02.10.2015,02.10.2015 YARATAN RABBİNİN ADIYLA OKU!,metinler,baslik_eslesti,"Yaratan Rabbinin adıyla oku. O, insanı ana rahmine tutunan, döllenmiş bir yumurtadan yarattı. Oku! Kalemle yazmayı öğreten, insana bilmediğini bildiren Rabbin sonsuz kerem sahibidir."
