dosya,satir,eylem,eski,yeni,gerekce
ayet,14,tarih_duzeltildi,"Alak,1","Alak,1","Alak, 96/1-5."
ayet,24,HATALI,"Zümer,9","Fatiha,5","Fâtiha, 1/5."
ayet,25,tarih_duzeltildi,"Zümer,9","Zümer,9","Zümer, 39/9."
ayet,37,tarih_duzeltildi,"Bakara,286","Bakara,286","Bakara, 2/286."
ayet,44,tasindi,"Bakara,183","Ahmed b. Hanbel,",tür karışması: diğer dosyaya taşındı
ayet,45,tarih_duzeltildi,"Bakara,183","Bakara,183","Bakara, 2/183."
ayet,101,HATALI,"Haşr,18","Maide,48","Mâide, 5/48."
ayet,167,sil,"Ahzab,45",,"Alıntı ayet değil: 03.02.2012 Mevlid-i Nebi hutbesinde yazarın Peygamber'e kendi hitabı (""Ey velâdeti yeryüzünün baharı..."" + salavat). Ahzâb 33/45-46 dipnotu metnin başka bir alıntısına ait."
ayet,171,tasindi,"Bakara,35","Ebû Dâvûd,Zekât",tür karışması: diğer dosyaya taşındı
ayet,202,tarih_duzeltildi,"Hucurat,13","Hucurat,13",Hucurat 49/13
ayet,211,HATALI,"Maide,105","Hicr,99","Hicr, 15/99."
ayet,221,HATALI,"Nasr,1","Mutaffifin,1","Mutaffifîn, 83/1-6."
ayet,224,tasindi,"Necm,1","Müslim,Birr",tür karışması: diğer dosyaya taşındı
ayet,235,tarih_duzeltildi,"Zümer,3","Zümer,3","Zümer, 39/3."
ayet,237,elle_duzeltildi,"İbrahim,3","Taha,114","Kapanış duası Tâhâ 20/114 (""Rabbi zidnî ilmen""). 20.11.2015 hutbesinde bu duanın dipnotu yok; komşu 1 nolu dipnot (İbrahim 14/3) yanlışlıkla atanmış."
hadis,5,kirpilmis_duzeltildi,"Tirmizî,Birr","Tirmizî,Birr ve Sıla","Tirmizî, Birr ve Sıla, 33."
hadis,7,kirpilmis_duzeltildi,"Tirmizî,Birr","Tirmizî,Birr ve sıla","Tirmizî, Birr ve sıla, 58."
hadis,8,kirpilmis_duzeltildi,"Tirmizî,Birr","Tirmizî,Birr ve Sıla","Tirmizi, Birr ve Sıla, 36."
hadis,10,kirpilmis_duzeltildi,"Tirmizî,Birr","Tirmizî,Birr ve Sıla","Tirmizî, Birr ve Sıla, 33."
hadis,11,kirpilmis_duzeltildi,"Tirmizî,Birr","Tirmizî,Birr ve Sıla","Tirmizî, Birr ve Sıla, 15."
hadis,12,kirpilmis_duzeltildi,"Tirmizî,Birr","Tirmizî,Birr ve Sıla","Tirmizî, Birr ve Sıla, 14."
hadis,13,HATALI,"Tirmizî,Birr","Müslim,Sıfâtu’l Münâfikın","Müslim, Sıfâtu’l Münâfikın, 78."
hadis,14,kirpilmis_duzeltildi,"Tirmizî,Birr","Tirmizî,Birr ve Sıla","Tirmizi, Birr ve Sıla, 16."
hadis,15,tarih_duzeltildi,"Tirmizî,Birr","Tirmizî,Birr","Tirmizî, Birr, 15."
hadis,18,kirpilmis_duzeltildi,"Tirmizî,Birr","Tirmizî,Birr ve sıla","Tirmizî, Birr ve sıla, 33."
hadis,48,kirpilmis_duzeltildi,"Müslim,Birr","Müslim,Birr ve Sıla","Müslim, Birr ve Sıla, 30."
hadis,49,kirpilmis_duzeltildi,"Müslim,Birr","Müslim,Birr ve Sıla","Müslim, Birr ve Sıla, 34."
hadis,50,kirpilmis_duzeltildi,"Müslim,Birr","Müslim,Birr ve Sıla","Müslim, Birr ve Sıla, 34."
hadis,52,kirpilmis_duzeltildi,"Müslim,Birr","Müslim,Birr ve sıla","Müslim, Birr ve sıla, 69."
hadis,53,kirpilmis_duzeltildi,"Müslim,Birr","Müslim,Birr ve Sıla","Müslim, Birr ve Sıla, 105."
hadis,54,kirpilmis_duzeltildi,"Müslim,Birr","Müslim,Birr ve Sıla","Müslim, Birr ve Sıla, 66."
hadis,55,kirpilmis_duzeltildi,"Müslim,Birr","Müslim,Birr ve Sıla","Müslim, Birr ve Sıla, 30."
hadis,57,kirpilmis_duzeltildi,"Müslim,Birr","Müslim,Birr ve Sıla","Müslim, Birr ve Sıla, 66."
hadis,64,tarih_duzeltildi,"Müslim,Birr","Müslim,Birr","Müslim, Birr, 34."
hadis,104,eksik_tamamlandi,"Buhârî,-","Buhârî,Savm","Buhârî , Savm, 9; Müslim, Sıyâm, 30."
hadis,105,eksik_tamamlandi,"Buhârî,-","Buhârî,Îmân","Buhârî, Îmân 4."
hadis,106,eksik_tamamlandi,"Buhârî,-","Buhârî,İman","Buharî, İman, 39."
hadis,107,eksik_tamamlandi,"Buhârî,-","Buhârî,Îmân","Buhârî, Îmân, 41."
hadis,108,eksik_tamamlandi,"Buhârî,-","Buhârî,Îdeyn","Buhârî, Îdeyn, 3."
hadis,109,eksik_tamamlandi,"Buhârî,-","Buhârî,Îmân","Buhârî, Îmân, 29."
hadis,110,eksik_tamamlandi,"Buhârî,-","Buhârî,Îmân","Buhârî, Îmân, 4."
hadis,111,eksik_tamamlandi,"Buhârî,-","Buhârî,Îmân","Buhârî, Îmân, 39; Müslim, Müsâkât, 107."
