satir,durum,skor,eski_kaynak,eski_bolum,yeni_kaynak,yeni_bolum,dipnot_no,dipnot_ref,csv_tarih,hutbe,metin_kaynagi,esleme,alinti
2,dogru,1.0,Tirmizî,Birr,Tirmizî,Birr,4,"Tirmizî, Birr, 15; Ebû Dâvûd, Edeb, 66",15.04.2011,15.04.2011 MERHAMET EĞİTİMİ,metinler,baslik_eslesti,"Küçüklerimize sevgi, büyüklerimize saygı göstermeyen bizden değildir.."
3,dogru,1.0,Tirmizî,Birr,Tirmizî,Birr,4,"Tirmizi Birr, 15.",12.04.2013,12.04.2013 PEYGAMBERİMİZ VE İNSAN ONURU,metinler,baslik_eslesti,Küçüklerimize sevgi ile muamele etmeyen bizden değildir.
4,dogru,1.0,Tirmizî,Birr,Tirmizî,Birr,9,"Tirmizi Birr, 15.",12.04.2013,12.04.2013 PEYGAMBERİMİZ VE İNSAN ONURU,metinler,baslik_eslesti,Büyüklerimize saygı göstermeyen bizden değildir.
5,kirpilmis_duzeltildi,1.0,Tirmizî,Birr,Tirmizî,Birr ve Sıla,1,"Tirmizî, Birr ve Sıla, 33.",14.06.2013,14.06.2013 YAZ KUR’AN KURSLARI,metinler,baslik_eslesti,Hiçbir anne-baba çocuğuna güzel terbiyeden daha kıymetli bir miras bırakamaz.
6,dogru,1.0,Tirmizî,Birr,Tirmizî,Birr,5,"Tirmizî, Birr, 33.",28.06.2013,28.06.2013 İSLÂMÎ BİR DEĞERİMİZ: EDEB,metinler,baslik_eslesti,Hiçbir baba çocuğuna edebden daha değerli bir şey kazandıramaz.
7,kirpilmis_duzeltildi,1.0,Tirmizî,Birr,Tirmizî,Birr ve sıla,9,"Tirmizî, Birr ve sıla, 58.",14.02.2014,14.02.2014 AFFETMEK,metinler,baslik_eslesti,Husumeti sürdürmen sana günah olarak yeter.
8,kirpilmis_duzeltildi,1.0,Tirmizî,Birr,Tirmizî,Birr ve Sıla,6,"Tirmizi, Birr ve Sıla, 36.",04.04.2014,04.04.2014 DOĞRULUK VE SADAKA,metinler,baslik_eslesti,Kardeşinin yüzüne tebessüm etmen sadakadır.
9,dogru,1.0,Tirmizî,Birr,Tirmizî,Birr,11,"Tirmizî, Birr, 36.",04.04.2014,04.04.2014 DOĞRULUK VE SADAKA,metinler,baslik_eslesti,Doldurduğun kovayı kardeşinin boş kovasına boşaltman sadakadır.
10,kirpilmis_duzeltildi,1.0,Tirmizî,Birr,Tirmizî,Birr ve Sıla,3,"Tirmizî, Birr ve Sıla, 33.",20.06.2014,"20.06.2014 CAMİYE KOŞALIM, KUR’AN’LA BULUŞALIM",metinler,baslik_eslesti,"Hiçbir anne-baba, çocuğuna güzel ahlaktan daha kıymetli bir miras bırakmamıştır."
11,kirpilmis_duzeltildi,1.0,Tirmizî,Birr,Tirmizî,Birr ve Sıla,1,"Tirmizî, Birr ve Sıla, 15.",11.07.2014,11.07.2014 KİMSESİZLERİN KİMSESİ OLABİLMEK,metinler,baslik_eslesti,"Büyüklerimize saygı, küçüklerimize sevgi ve şefkat göstermeyen bizden değildir."
12,kirpilmis_duzeltildi,1.0,Tirmizî,Birr,Tirmizî,Birr ve Sıla,6,"Tirmizî, Birr ve Sıla, 14.",03.07.2015,03.07.2015 CENNET KAPILARININ ANAHTARI: YETİMLER,metinler,baslik_eslesti,"Kim, Müslümanlar arasında bir yetimi yiyecek ve içeceğini üstlenecek şekilde sahiplenirse Allah onu mutlaka cennete koyacaktır. Ancak affedilmeyecek bir günah işlemiş ise o başka."
13,HATALI,1.0,Tirmizî,Birr,Müslim,Sıfâtu’l Münâfikın,2,"Müslim, Sıfâtu’l Münâfikın, 78.",17.07.2015,17.07.2015 RAMAZAN MEKTEBİNİN ÖĞRETTİKLERİ,veriseti,baslik_eslesti,"Biliniz ki, Allah katında amellerin en makbulü, az da olsa devamlı olanıdır."
14,kirpilmis_duzeltildi,1.0,Tirmizî,Birr,Tirmizî,Birr ve Sıla,2,"Tirmizi, Birr ve Sıla, 16.",18.12.2015,18.12.2015 RAHMET VE MERHAMET YÜKLÜ ADALET PEYGAMBE,metinler,baslik_eslesti,Yerdeki bütün mahlukata merhamet edin ki göktekiler de size merhamet etsin.
15,dogru,1.0,Tirmizî,Birr,Tirmizî,Birr,4,"Tirmizî, Birr, 15.",10.06.2016,"17.06.2016 KUR’ÂN, RAMAZAN VE ÇOCUK",metinler,baslik_eslesti+tarih_duzeltildi,Küçüğümüze merhamet etmeyen bizden değildir.
16,dogru,1.0,Tirmizî,Birr,Tirmizî,Birr,2,"Tirmizî, Birr, 33; İbn Hanbel, IV, 77.",23.09.2016,23.09.2016 ALLAH’IM! İLİMLE YÜCELT BİZİ!,metinler,baslik_eslesti,"Hiçbir anne baba, çocuğuna güzel terbiyeden daha kıymetli bir miras bırakmamıştır."
17,dogru,1.0,Tirmizî,Birr,Tirmizî,Birr,2,"Tirmizî, Birr, 48; İbn Hanbel, I, 405.",04.08.2017,04.08.2017 RAHMAN’A HAS KUL OLABİLMEK,metinler,baslik_eslesti,"Mümin, insanları karalayan, lânet eden, kaba ve kötü sözlü, hayâsız birisi olamaz."
18,kirpilmis_duzeltildi,1.0,Tirmizî,Birr,Tirmizî,Birr ve sıla,4,"Tirmizî, Birr ve sıla, 33.",12.10.2018,"12.10.2018 CENÂB-I HAK, HER HAK SAHİBİNE HAKKINI VE",metinler,baslik_eslesti,"Hiçbir anne baba, çocuğuna güzel terbiyeden daha kıymetli bir bağışta bulunmamıştır."
19,dogru,1.0,Tirmizî,Birr,Tirmizî,Birr,3,"Tirmizî, Birr, 3.",22.02.2019,"22.02.2019 YAŞLILARA HÜRMET, ÖMRÜMÜZE BEREKET",metinler,baslik_eslesti,"Rabbin rızası, anne babanın rızasına, öfkesi de anne babanın öfkesine bağlıdır"
