indeks,eylem,eski,yeni,dipnot_ref
6,sil,"Ahzab,45",,"Alıntı ayet değil: 03.02.2012 Mevlid-i Nebi hutbesinde yazarın Peygamber'e kendi hitabı (""Ey velâdeti yeryüzünün baharı..."" + salavat). Ahzâb 33/45-46 dipnotu metnin başka bir alıntısına ait."
36,duzeltildi,"Haşr,18","Maide,48","Mâide, 5/48."
37,tasindi,"Bakara,35","Ebû Dâvûd,Zekât",tür karışması
39,duzeltildi,"Hucurat,13","Hucurat,13",Hucurat 49/13
40,duzeltildi,"Maide,105","Hicr,99","Hicr, 15/99."
51,elle_duzeltildi,"İbrahim,3","Taha,114","Kapanış duası Tâhâ 20/114 (""Rabbi zidnî ilmen""). 20.11.2015 hutbesinde bu duanın dipnotu yok; komşu 1 nolu dipnot (İbrahim 14/3) yanlışlıkla atanmış."
71,duzeltildi,"Nasr,1","Mutaffifin,1","Mutaffifîn, 83/1-6."
82,duzeltildi,"Zümer,9","Fatiha,5","Fâtiha, 1/5."
83,duzeltildi,"Alak,1","Alak,1","Alak, 96/1-5."
84,duzeltildi,"Zümer,9","Zümer,9","Zümer, 39/9."
85,tasindi,"Necm,1","Müslim,Birr",tür karışması
86,duzeltildi,"Bakara,286","Bakara,286","Bakara, 2/286."
114,duzeltildi,"Zümer,3","Zümer,3","Zümer, 39/3."
127,tasindi,"Bakara,183","Ahmed b. Hanbel,",tür karışması
128,duzeltildi,"Bakara,183","Bakara,183","Bakara, 2/183."
