indeks,eylem,eski,yeni,dipnot_ref
2,duzeltildi,"Nesâi,Dah","Nesâi,Dahâyâ","Nesâi, Dahâyâ, 42"
6,duzeltildi,"Buhârî,Mez","Buhârî,Mezâlim","Buhârî, Mezâlim, 3; Müslim, Birr, 58; Tirmizî, Birr, 18."
9,duzeltildi,"Buhârî,Nik","Buhârî,Nikâh","Buhârî, Nikâh, 81."
11,duzeltildi,"Buhârî,Rik","Buhârî,Rikâk","Buhârî, Rikâk, 1."
12,duzeltildi,"Hakim,Müstedrek","Hakim,el-Müstedrek","Hakim, el-Müstedrek, IV, 341."
13,duzeltildi,"Buhârî,-","Buhârî,Savm","Buhârî , Savm, 9; Müslim, Sıyâm, 30."
15,duzeltildi,"Müslim,Sıy","Müslim,Sıyâm","Müslim, Sıyâm, 31."
16,duzeltildi,"Müslim,İm","Müslim,İmân","Müslim, İmân, 22."
17,duzeltildi,"Buhârî,İm","Buhârî,İmân","Buhârî, İmân, 5."
20,duzeltildi,"Müslim,Birr","Müslim,Birr ve Sıla","Müslim, Birr ve Sıla, 30."
21,duzeltildi,"Müslim,Birr","Müslim,Birr ve Sıla","Müslim, Birr ve Sıla, 34."
22,duzeltildi,"Tirmizî,Sıfatü’l-kıy","Tirmizî,Sıfatü’l-kıyâme","Tirmizî, Sıfatü’l-kıyâme, 1."
24,duzeltildi,"Buhârî,Lib","Buhârî,Libâs","Buhârî, Libâs, 1; Nesâî, Zekât, 66."
26,duzeltildi,"Ebû Dâvûd,Tah","Ebû Dâvûd,Tahâret","Ebû Dâvûd, Tahâret, 94."
27,duzeltildi,"Tirmizî,Rad","Tirmizî,Radâ’","Tirmizî, Radâ’, 11."
30,duzeltildi,"Buhârî,Tal","Buhârî,Talâk","Buhârî, Talâk, 25."
33,duzeltildi,"Tirmizî,Rad","Tirmizî,Radâ","Tirmizi, Radâ, 11."
35,duzeltildi,"Müslim,Birr","Müslim,Birr ve Sıla","Müslim, Birr ve Sıla, 34."
36,duzeltildi,"Ahmed b. Hanbel,V","Ahmed b. Hanbel,","Ahmed b. Hanbel, V, 411."
37,duzeltildi,"Tirmizî,Birr","Tirmizî,Birr ve Sıla","Tirmizî, Birr ve Sıla, 33."
39,duzeltildi,"Müslim,Sıy","Müslim,Sıyâm","Müslim, Sıyâm, 163."
42,duzeltildi,"Müslim,Sal","Buhârî,Mezâlim","Buhârî, Mezâlim, 8; Müslim, Birr, 57."
43,tasindi,"Müslim,Sal","Nisa,93",tür karışması
45,duzeltildi,"Buhârî,-","Buhârî,Îmân","Buhârî, Îmân 4."
46,duzeltildi,"Müslim,Sıy","Müslim,Sıyâm","Müslim, Sıyâm, 203."
48,duzeltildi,"Buhârî,Rik","Buhârî,Rikâk","Buhârî, Rikâk, 3."
49,duzeltildi,"Ahmed b. Hanbel,II","Ahmed b. Hanbel,","Ahmed b. Hanbel, II, 400."
50,duzeltildi,"Buhârî,Rik","Buhârî,Rikâk","Buhârî, Rikâk, 1."
51,duzeltildi,"Müslim,Kit","Müslim,Kitâbü’l-Fedâil","Müslim, Kitâbü’l-Fedâil, 126, Tirmizî, Şemâil, 167."
53,duzeltildi,"Tirmizî,Sıfatü’l-kıy","Tirmizî,Sıfatü’l-kıyâme","Tirmizî, Sıfatü’l-kıyâme, 59."
54,duzeltildi,"Müslim,Birr","Müslim,Birr ve sıla","Müslim, Birr ve sıla, 69."
55,duzeltildi,"Tirmizî,Birr","Tirmizî,Birr ve sıla","Tirmizî, Birr ve sıla, 58."
57,duzeltildi,"Tirmizî,Deav","Tirmizî,Deavât","Tirmizî, Deavât, 89."
58,duzeltildi,"Buhârî,-","Buhârî,İman","Buharî, İman, 39."
59,duzeltildi,"Ebû Dâvûd,Edeb","Hakim,Müstedrek","Hakim, Müstedrek, “Tevbe ve İnâbe” H.no:7632"
60,duzeltildi,"Buhârî,Tevh","Buhârî,Tevhîd","Buhârî, Tevhîd, 31."
