hafta_id,tarih,dini_gun,siyasi_olay,kriz_olayi,olay_notu
2011-1504,15.04.2011,,,,
2011-2110,21.10.2011,,,,
2011-2810,28.10.2011,,,Van depremi (+5 gün),
2011-0611,06.11.2011,Kurban Bayramı,,Van depremi (+14 gün),
2011-2511,25.11.2011,,,,
2011-0212,02.12.2011,,,,
2011-3012,30.12.2011,,,,
2012-0302,03.02.2012,Mevlid Kandili,,,
2012-0604,06.04.2012,,,,
2012-1304,13.04.2012,,,,
2012-2906,29.06.2012,Berat Kandili,,,Berat Kandili tarihi yaklaşık (±1 gün)
2012-2007,20.07.2012,Ramazan başlangıcı,,,
2012-2707,27.07.2012,Ramazan içi,,,
2012-1908,19.08.2012,Kadir Gecesi; Ramazan Bayramı,,,
2012-2809,28.09.2012,,,,
2012-1611,16.11.2012,,,,
2012-2812,28.12.2012,,,,
2013-2501,25.01.2013,Mevlid Kandili,,,
2013-0803,08.03.2013,,,,
2013-1503,15.03.2013,,,,
2013-2903,29.03.2013,,,,
2013-0504,05.04.2013,,,,
2013-1204,12.04.2013,,,,
2013-1904,19.04.2013,,,,
2013-0706,07.06.2013,Miraç Kandili,,,
2013-1406,14.06.2013,,,,
2013-2106,21.06.2013,Berat Kandili,,,Berat Kandili tarihi yaklaşık (±1 gün)
2013-2806,28.06.2013,Berat Kandili,,,Berat Kandili tarihi yaklaşık (±1 gün)
2013-0507,05.07.2013,Ramazan başlangıcı,,,
2013-1207,12.07.2013,Ramazan başlangıcı,,,
2013-1907,19.07.2013,Ramazan içi,,,
2013-2607,26.07.2013,Ramazan içi,,,
2013-0208,02.08.2013,Kadir Gecesi; Ramazan Bayramı,,,
2013-0808,08.08.2013,Kadir Gecesi; Ramazan Bayramı,,,
2013-1608,16.08.2013,,,,
2013-2308,23.08.2013,,,,
2013-3008,30.08.2013,,,,
2013-2709,27.09.2013,,,,
2013-0410,04.10.2013,,,,
2013-1510,15.10.2013,Kurban Bayramı,,,
2013-0111,01.11.2013,,,,
2013-0811,08.11.2013,,,,
2013-1312,13.12.2013,,,,
2013-2712,27.12.2013,,,,
2014-1001,10.01.2014,Mevlid Kandili,,,
2014-3101,31.01.2014,,,,
2014-0702,07.02.2014,,,,
2014-1402,14.02.2014,,,,
2014-2102,21.02.2014,,,,
2014-2802,28.02.2014,,,,
2014-0703,07.03.2014,,,,
2014-2103,21.03.2014,,Yerel seçim öncesi (9 gün),,
2014-2803,28.03.2014,,Yerel seçim öncesi (2 gün),,
2014-0404,04.04.2014,,Yerel seçim sonrası (5 gün),,
2014-1104,11.04.2014,,Yerel seçim sonrası (12 gün),,
2014-1804,18.04.2014,,,,
2014-1605,16.05.2014,,,Soma maden faciası (+3 gün),
2014-2305,23.05.2014,Miraç Kandili,,Soma maden faciası (+10 gün),
2014-3005,30.05.2014,Miraç Kandili,,Soma maden faciası (+17 gün),
2014-0606,06.06.2014,,,Soma maden faciası (+24 gün),
2014-1306,13.06.2014,Berat Kandili,,,Berat Kandili tarihi yaklaşık (±1 gün)
