sira,tarih,yil,baslik,ana_kategori,ikincil_kategoriler
1,15.04.2011,2011,MERHAMET EĞİTİMİ,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ahlak, Erdem ve Söz"
2,03.02.2012,2012,MEVLİD-İ NEBİ,Peygamberimiz ve Ashab,"Kandiller, Muharrem ve Mübarek Geceler"
3,13.04.2012,2012,KARDEŞLİK AHLAKI VE HUKUKU,"Ahlak, Erdem ve Söz","Toplumsal Dayanışma, Merhamet ve Kardeşlik"
4,19.08.2012,2012,RAMAZAN BAYRAMI,"Ramazan, Oruç ve Bayramlar","Ahlak, Erdem ve Söz; Toplumsal Dayanışma, Merhamet ve Kardeşlik"
5,28.09.2012,2012,YETER Kİ GÖNÜLLER ENGELLİ OLMASIN,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",İbadet ve Kulluk
6,25.01.2013,2013,ALLAH’IN SEVMEDİĞİ DAVRANIŞ: İSRAF,"Ekonomik Hayat: Kazanç, Zekat ve İsraf",
7,08.03.2013,2013,BİR KUL OLARAK KADIN,"Aile, Çocuk ve Nesil","Peygamberimiz ve Ashab; Toplumsal Dayanışma, Merhamet ve Kardeşlik"
8,15.03.2013,2013,ŞEHİTLİK VE ÇANAKKALE,"Vatan, Millet ve Tarih",
9,19.04.2013,2013,İNSAN KALABİLMEK,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Peygamberimiz ve Ashab; Sabır, Tevekkül ve Manevi Olgunluk"
10,21.06.2013,2013,BERATA ULAŞABİLMEK,"Kandiller, Muharrem ve Mübarek Geceler","İbadet ve Kulluk; İman, Tevhid ve Ahiret"
11,27.09.2013,2013,"DAVET HEPİMİZE, HEP BİRLİKTE CAMİYE!",İbadet ve Kulluk,
12,04.10.2013,2013,KURBANLARIMIZLA PEKİŞSİN KARDEŞLİĞİMİZ,"Ramazan, Oruç ve Bayramlar",Peygamberimiz ve Ashab
13,10.01.2014,2014,MEVLİD-İ NEBİ,Peygamberimiz ve Ashab,"Kandiller, Muharrem ve Mübarek Geceler"
14,14.02.2014,2014,AFFETMEK,"Ahlak, Erdem ve Söz","Toplumsal Dayanışma, Merhamet ve Kardeşlik; Peygamberimiz ve Ashab"
15,21.02.2014,2014,KALB-İ SELİM (I),"İman, Tevhid ve Ahiret",
16,21.03.2014,2014,İMTİHAN DÜNYASI,"Sabır, Tevekkül ve Manevi Olgunluk","İman, Tevhid ve Ahiret"
17,28.03.2014,2014,HÜRRİYET VE MESULİYET,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Sabır, Tevekkül ve Manevi Olgunluk"
18,23.05.2014,2014,MİRAÇ KANDİLİ,"Kandiller, Muharrem ve Mübarek Geceler",
19,20.06.2014,2014,"CAMİYE KOŞALIM, KUR’AN’LA BULUŞALIM",Kur'an-ı Kerim,"Aile, Çocuk ve Nesil"
20,25.07.2014,2014,RAMAZAN MUHASEBESİ,"Ekonomik Hayat: Kazanç, Zekat ve İsraf","Ramazan, Oruç ve Bayramlar; Sabır, Tevekkül ve Manevi Olgunluk"
21,28.07.2014,2014,RAMAZAN BAYRAMI,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ramazan, Oruç ve Bayramlar"
22,22.08.2014,2014,HAYÂ HAYATTIR!,"Ahlak, Erdem ve Söz",
23,04.10.2014,2014,KURBAN BAYRAMI,"Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik; İbadet ve Kulluk"
24,17.10.2014,2014,ARŞIN GÖLGESİNDEKİ GENÇLİK,"Aile, Çocuk ve Nesil",
25,07.11.2014,2014,MESCİD-İ AKSÂ KAN AĞLIYOR,İslam Coğrafyası ve Küresel Meseleler,
26,21.11.2014,2014,HAYIR HAZİNELER DOLUSUDUR,"Afet, Kriz ve Sağlık","İman, Tevhid ve Ahiret; Peygamberimiz ve Ashab"
27,05.12.2014,2014,AHİRET: HESAP VERME BİLİNCİ,"İman, Tevhid ve Ahiret","Sabır, Tevekkül ve Manevi Olgunluk"
28,26.06.2015,2015,TEVHİD İLE GELEN VAHDET,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","İman, Tevhid ve Ahiret"
29,10.07.2015,2015,"KADİR GECESİ, KADİR BİLENLER İÇİNDİR","Kandiller, Muharrem ve Mübarek Geceler",Kur'an-ı Kerim
30,07.08.2015,2015,KULLUĞUN ÖZÜ: İHSAN,"Sabır, Tevekkül ve Manevi Olgunluk",
31,28.08.2015,2015,HAC YOLCULUĞUNDAN HAK YOLCULUĞUNA,İbadet ve Kulluk,"İman, Tevhid ve Ahiret; Sabır, Tevekkül ve Manevi Olgunluk"
32,04.09.2015,2015,"KARDEŞLİĞİ KÖRELTEN AFETLER: TECESSÜS, SU-İ ZAN…","Ahlak, Erdem ve Söz",
33,11.12.2015,2015,DÜNYA-AHİRET DENGESİ,"Sabır, Tevekkül ve Manevi Olgunluk",
34,18.12.2015,2015,RAHMET VE MERHAMET YÜKLÜ ADALET PEYGAMBERİ,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",
35,29.01.2016,2016,EN GÜZEL İSİMLER O’NUNDUR,"Sabır, Tevekkül ve Manevi Olgunluk","İman, Tevhid ve Ahiret"
36,26.02.2016,2016,ÂHİRETE İMAN,"İman, Tevhid ve Ahiret",
37,11.03.2016,2016,DÜNYAYI İYİLİK DEĞİŞTİRİR,"Ahlak, Erdem ve Söz","Toplumsal Dayanışma, Merhamet ve Kardeşlik"
38,18.03.2016,2016,ÇANAKKALE VE BİRLİK RUHU,"Vatan, Millet ve Tarih",
39,29.04.2016,2016,MİRAÇ KANDİLİ,"Kandiller, Muharrem ve Mübarek Geceler",İbadet ve Kulluk
40,20.05.2016,2016,MAHREMİYETİ YİTİRMEK MAHRUMİYETTİR,"Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","Ahlak, Erdem ve Söz; Aile, Çocuk ve Nesil"
41,03.06.2016,2016,GELİN GÖNÜLLER YAPALIM,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ramazan, Oruç ve Bayramlar"
42,10.06.2016,2016,KUR’AN AYI RAMAZAN,Kur'an-ı Kerim,"Vatan, Millet ve Tarih; Ramazan, Oruç ve Bayramlar"
43,24.06.2016,2016,ARINMA VESİLESİ: ZEKÂT VE İNFAK,"Ekonomik Hayat: Kazanç, Zekat ve İsraf","Toplumsal Dayanışma, Merhamet ve Kardeşlik"
44,05.07.2016,2016,RAMAZAN BAYRAMI,"Ramazan, Oruç ve Bayramlar",
45,29.07.2016,2016,"EN BÜYÜK BOZGUNCULUK, DİNİN MUAZZEZ DEĞERLERİNİ İSTİSMAR ETMEKTİR.","Vatan, Millet ve Tarih","Toplumsal Dayanışma, Merhamet ve Kardeşlik; Ahlak, Erdem ve Söz"
46,09.09.2016,2016,BAYRAM VE HZ. İBRAHİM,Peygamberimiz ve Ashab,"Ramazan, Oruç ve Bayramlar; İbadet ve Kulluk"
47,16.09.2016,2016,EBEDİ BAYRAMLARA BİRLİKTE YOL ALABİLMEK,İbadet ve Kulluk,"Toplumsal Dayanışma, Merhamet ve Kardeşlik; İman, Tevhid ve Ahiret"
48,14.10.2016,2016,HAYATA EMEKLE DOKUNMAK,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ekonomik Hayat: Kazanç, Zekat ve İsraf"
49,11.11.2016,2016,KELİME-İ ŞEHÂDET,"İman, Tevhid ve Ahiret",
50,25.11.2016,2016,HAYATIN GAYESİ,İbadet ve Kulluk,
51,02.12.2016,2016,YERYÜZÜNÜN KÜÇÜK VE ONURLU HALİFESİ: ÇOCUK,"Aile, Çocuk ve Nesil","Toplumsal Dayanışma, Merhamet ve Kardeşlik"
52,16.12.2016,2016,HER ZORLUKLA BERABER BİR KOLAYLIK VARDIR.,"Vatan, Millet ve Tarih",
53,30.12.2016,2016,ÖMÜR NİMETİ,"Sabır, Tevekkül ve Manevi Olgunluk","İbadet ve Kulluk; Kandiller, Muharrem ve Mübarek Geceler"
54,24.02.2017,2017,ALLAH’A SIĞINMANIN EN GÜZEL İFADESİ: MUAVVİZETEYN SURESİ,İbadet ve Kulluk,"Ahlak, Erdem ve Söz"
55,03.03.2017,2017,FİRDEVS CENNETİNE MİRASÇI OLMAK,"Ahlak, Erdem ve Söz",
56,31.03.2017,2017,"RAĞBETİMİZ, RABBİMİZE OLSUN!","Kandiller, Muharrem ve Mübarek Geceler",
57,21.04.2017,2017,MÜMİN GÜVENEN VE GÜVENİLEN İNSANDIR,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Kandiller, Muharrem ve Mübarek Geceler; İslam Coğrafyası ve Küresel Meseleler"
58,12.05.2017,2017,SAMİMİYETSİZLİĞİN ADI: RİYA,"Ahlak, Erdem ve Söz","İman, Tevhid ve Ahiret"
59,09.06.2017,2017,KUR’AN AYINDA KUR’AN’LA BULUŞALIM,"Aile, Çocuk ve Nesil",
60,23.06.2017,2017,ÖMRÜMÜZÜ RAMAZAN KILABİLMEK,"Ramazan, Oruç ve Bayramlar","Sabır, Tevekkül ve Manevi Olgunluk"
61,14.07.2017,2017,SALÂLARIN ŞAHİT OLDUĞU DİRENİŞ: 15 TEMMUZ,"Vatan, Millet ve Tarih",
62,25.08.2017,2017,ALLAH’A YAKIN OLMA ARAYIŞI: KURBAN,"İman, Tevhid ve Ahiret","Vatan, Millet ve Tarih"
63,15.09.2017,2017,BİLENLERLE BİLMEYENLER BİR OLUR MU?,İslam Coğrafyası ve Küresel Meseleler,"Ekonomik Hayat: Kazanç, Zekat ve İsraf"
64,03.11.2017,2017,SÜNNET: NEBEVİ KILAVUZ,Peygamberimiz ve Ashab,"İman, Tevhid ve Ahiret; Kur'an-ı Kerim"
65,10.11.2017,2017,ÖRNEK İNSAN: MÜMİN,"Ahlak, Erdem ve Söz","Toplumsal Dayanışma, Merhamet ve Kardeşlik"
66,17.11.2017,2017,ALLAH KATINDA DİN İSLAM’DIR,"İman, Tevhid ve Ahiret",
