"tarih","baslik","ana_kategori","ikincil_kategoriler","cerceve","ton","muhatap","eylem_cagrisi"
"01.01.2016","RABBİMİZ! BİZİ DOSDOĞRU YOLA İLET!","İman, Tevhid ve Ahiret","Sabır, Tevekkül ve Manevi Olgunluk","birey","teşvik; bilgilendirme","genel","ahlaki"
"08.01.2016","EDEP VE HAYÂ","Ahlak, Erdem ve Söz","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","birey","uyarı; teşvik","genel","ahlaki"
"15.01.2016","İMTİHANIN ADI: FİTNE","Ahlak, Erdem ve Söz","Vatan, Millet ve Tarih","cemaat-toplum","uyarı; teşvik","genel","ahlaki"
"22.01.2016","SÖZ AHLAKI","Ahlak, Erdem ve Söz","","birey","bilgilendirme; uyarı","genel","ahlaki"
"29.01.2016","EN GÜZEL İSİMLER O’NUNDUR","İman, Tevhid ve Ahiret","","birey","teşvik; bilgilendirme","genel","ahlaki"
"05.02.2016","ŞİMDİ YARALARI SARMA ZAMANI!","Vatan, Millet ve Tarih","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teselli; teşvik","millet","maddi; ahlaki"
"12.02.2016","PEYGAMBERE İMAN TEVHİDİN BİR GEREĞİDİR","İman, Tevhid ve Ahiret","Peygamberimiz ve Ashab","birey","bilgilendirme; teşvik","genel","ahlaki"
"19.02.2016","PEYGAMBERLER ALLAH’IN KUTLU ELÇİLERİDİR","İman, Tevhid ve Ahiret","Peygamberimiz ve Ashab","birey","bilgilendirme; teselli","genel","ahlaki"
"26.02.2016","ÂHİRETE İMAN","İman, Tevhid ve Ahiret","","birey","teşvik; bilgilendirme","genel","ahlaki"
"04.03.2016","KİTAPLARA İMAN","İman, Tevhid ve Ahiret","Kur'an-ı Kerim","birey","bilgilendirme; teşvik","genel","ahlaki"
"11.03.2016","DÜNYAYI İYİLİK DEĞİŞTİRİR","Toplumsal Dayanışma, Merhamet ve Kardeşlik","","birey","teşvik","genel","ahlaki"
"18.03.2016","ÇANAKKALE VE BİRLİK RUHU","Vatan, Millet ve Tarih","","cemaat-toplum","teşvik; teselli","millet","ritüel; ahlaki"
"25.03.2016","HAK VE HAKİKAT","Ahlak, Erdem ve Söz","Toplumsal Dayanışma, Merhamet ve Kardeşlik","birey","bilgilendirme; teşvik","genel","ahlaki"
"01.04.2016","ÖFKEYE HÂKİM OLABİLMEK","Sabır, Tevekkül ve Manevi Olgunluk","","birey","teşvik; uyarı","genel","ahlaki"
"08.04.2016","HZ. PEYGAMBER, TEVHİD VE VAHDET","Toplumsal Dayanışma, Merhamet ve Kardeşlik","İman, Tevhid ve Ahiret","cemaat-toplum","teşvik; bilgilendirme","ümmet","ahlaki"
"15.04.2016","TEVHİD VE VAHDET MEDENİYETİ","Toplumsal Dayanışma, Merhamet ve Kardeşlik","İman, Tevhid ve Ahiret","cemaat-toplum","bilgilendirme; teşvik","ümmet","ahlaki"
