"id","tarih","baslik","ana_kategori","ikincil_kategoriler","cerceve","ton","muhatap","eylem_cagrisi"
"2011-04-15","15.04.2011","MERHAMET EĞİTİMİ","Toplumsal Dayanışma, Merhamet ve Kardeşlik","","birey","teşvik; uyarı","genel","ahlaki"
"2011-10-21","21.10.2011","AZÎZ ŞEHİTLERİMİZE…","Vatan, Millet ve Tarih","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teselli; kınama","millet","ritüel"
"2011-10-28","28.10.2011","MÜMİNLER TEK BİR VÜCUT GİBİDİR","Afet, Kriz ve Sağlık","Sabır, Tevekkül ve Manevi Olgunluk","karma","teselli; teşvik","millet","maddi; ritüel"
"2011-11-06","06.11.2011","KURBAN BAYRAMI","Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teşvik","genel","ritüel; ahlaki"
"2011-11-25","25.11.2011","EŞİMİZ, EVLADIMIZ, ANNEMİZ: KADIN","Aile, Çocuk ve Nesil","","birey","kınama; teşvik","genel","ahlaki"
"2011-12-02","02.12.2011","KERBELA’YI ANLAMAK","Kandiller, Muharrem ve Mübarek Geceler","","cemaat-toplum","bilgilendirme; teselli","ümmet","ritüel"
"2011-12-30","30.12.2011","ZAMAN BİLİNCİ","Sabır, Tevekkül ve Manevi Olgunluk","","birey","uyarı; teşvik","genel","ahlaki"
"2012-02-03","03.02.2012","MEVLİD-İ NEBİ","Peygamberimiz ve Ashab","Kandiller, Muharrem ve Mübarek Geceler","birey","teşvik","genel","ahlaki; ritüel"
"2012-04-06","06.04.2012","KARDEŞLİK ÇAĞRISI","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Peygamberimiz ve Ashab","cemaat-toplum","teşvik","genel","ahlaki"
"2012-04-13","13.04.2012","KARDEŞLİK AHLAKI VE HUKUKU","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ahlak, Erdem ve Söz","birey","teşvik","genel","ahlaki"
"2012-06-29","29.06.2012","BERÂT’A YOL ARAMAK","Kandiller, Muharrem ve Mübarek Geceler","İman, Tevhid ve Ahiret","birey","teşvik; teselli","genel","ritüel"
"2012-07-20","20.07.2012","“BEN ORUÇLUYUM” DİYEBİLMEK","Ramazan, Oruç ve Bayramlar","","birey","teşvik; uyarı","genel","ritüel; ahlaki"
"2012-07-27","27.07.2012","SEVGİ VE BARIŞ DİLİ: SELÂM","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ahlak, Erdem ve Söz","birey","teşvik","genel","ahlaki"
"2012-08-19","19.08.2012","RAMAZAN BAYRAMI","Ramazan, Oruç ve Bayramlar","Ahlak, Erdem ve Söz; Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teşvik; teselli","genel","ahlaki; maddi"
"2012-09-28","28.09.2012","YETER Kİ GÖNÜLLER ENGELLİ OLMASIN","Toplumsal Dayanışma, Merhamet ve Kardeşlik","İbadet ve Kulluk","cemaat-toplum","teşvik; bilgilendirme","genel","ahlaki; katılım"
"2012-11-16","16.11.2012","MEDENİYET YOLCULUĞU: HİCRET","Kandiller, Muharrem ve Mübarek Geceler","Peygamberimiz ve Ashab; Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","bilgilendirme; teşvik","ümmet","ahlaki"
"2012-12-28","28.12.2012","“DÜN” EYLEDİĞİMİZ GÜNLER…","Sabır, Tevekkül ve Manevi Olgunluk","İslam Coğrafyası ve Küresel Meseleler","karma","uyarı; teşvik","genel","ahlaki; maddi"
"2013-01-25","25.01.2013","ALLAH’IN SEVMEDİĞİ DAVRANIŞ: İSRAF","Ekonomik Hayat: Kazanç, Zekat ve İsraf","","birey","uyarı; teşvik","genel","ahlaki"
"2013-03-08","08.03.2013","BİR KUL OLARAK KADIN","Aile, Çocuk ve Nesil","Peygamberimiz ve Ashab","birey","teşvik; kınama","genel","ahlaki"
"2013-03-15","15.03.2013","ŞEHİTLİK VE ÇANAKKALE","Vatan, Millet ve Tarih","","cemaat-toplum","bilgilendirme; teşvik","millet","ritüel"
"2013-03-29","29.03.2013","SOKAĞIN YETİMLERİ: ÇOCUKLARIMIZ","Aile, Çocuk ve Nesil","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teselli; teşvik","aileler","ahlaki"
"2013-04-05","05.04.2013","MÜKERREM BİR VARLIK OLARAK İNSAN","Toplumsal Dayanışma, Merhamet ve Kardeşlik","","birey","teşvik","genel","ahlaki"
"2013-04-12","12.04.2013","PEYGAMBERİMİZ VE İNSAN ONURU","Peygamberimiz ve Ashab","Toplumsal Dayanışma, Merhamet ve Kardeşlik","birey","teşvik; bilgilendirme","genel","ahlaki"
"2013-04-19","19.04.2013","İNSAN KALABİLMEK","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Peygamberimiz ve Ashab","birey","teşvik; bilgilendirme","genel","ahlaki"
"2013-06-07","07.06.2013","MÜMİNLER KARDEŞTİRLER","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ahlak, Erdem ve Söz","birey","teşvik","genel","ahlaki"
"2013-06-14","14.06.2013","YAZ KUR’AN KURSLARI","Kur'an-ı Kerim","Aile, Çocuk ve Nesil","aile","teşvik","aileler","katılım; ritüel"
"2013-06-21","21.06.2013","BERATA ULAŞABİLMEK","Kandiller, Muharrem ve Mübarek Geceler","İman, Tevhid ve Ahiret","karma","teşvik; teselli","genel","ritüel; maddi"
"2013-06-28","28.06.2013","İSLÂMÎ BİR DEĞERİMİZ: EDEB","Ahlak, Erdem ve Söz","","birey","bilgilendirme; teşvik","genel","ahlaki"
"2013-07-05","05.07.2013","RAMAZAN VE ORUÇ","Ramazan, Oruç ve Bayramlar","","birey","teşvik","genel","ritüel"
"2013-07-12","12.07.2013","HELAL KAZANÇ HELAL LOKMA","Ekonomik Hayat: Kazanç, Zekat ve İsraf","","birey","uyarı; teşvik","genel","ahlaki"
"2013-07-19","19.07.2013","HELAL KAZANÇ, HELAL LOKMA","Ekonomik Hayat: Kazanç, Zekat ve İsraf","","birey","teşvik; uyarı","genel","ahlaki"
"2013-07-26","26.07.2013","TEKBİR: ALLÂHU EKBER","İman, Tevhid ve Ahiret","İbadet ve Kulluk; İslam Coğrafyası ve Küresel Meseleler","karma","bilgilendirme; kınama","ümmet","ritüel"
"2013-08-02","02.08.2013","RAMAZANA VEDA VE KADİR GECESİ","Kandiller, Muharrem ve Mübarek Geceler","Ramazan, Oruç ve Bayramlar","karma","teselli; teşvik","genel","ritüel"
"2013-08-08","08.08.2013","RAMAZAN BAYRAMI","Ramazan, Oruç ve Bayramlar","İslam Coğrafyası ve Küresel Meseleler","cemaat-toplum","teşvik; teselli","ümmet","ahlaki; maddi"
"2013-08-16","16.08.2013","MAZLUMUN AHI, TİTRETİR ARŞ-I RAHMAN’I","İslam Coğrafyası ve Küresel Meseleler","","cemaat-toplum","kınama; teselli","ümmet","ritüel"
"2013-08-23","23.08.2013","İNSANIN KATLİ, İNSANLIĞIN KATLİDİR","İslam Coğrafyası ve Küresel Meseleler","Ahlak, Erdem ve Söz","cemaat-toplum","kınama; uyarı","ümmet","ritüel"
"2013-08-30","30.08.2013","ZAFERLER ALLAH’TANDIR","Vatan, Millet ve Tarih","İslam Coğrafyası ve Küresel Meseleler","cemaat-toplum","teşvik; bilgilendirme","millet","ritüel"
"2013-09-27","27.09.2013","DAVET HEPİMİZE, HEP BİRLİKTE CAMİYE!","İbadet ve Kulluk","","cemaat-toplum","teşvik","kadınlar","katılım"
"2013-10-04","04.10.2013","KURBANLARIMIZLA PEKİŞSİN KARDEŞLİĞİMİZ","Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teşvik","genel","ritüel; maddi"
"2013-10-15","15.10.2013","KURBAN BAYRAMI","Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teşvik; teselli","genel","ahlaki; maddi"
"2013-11-01","01.11.2013","RAHMET’İN HİCRETİ","Peygamberimiz ve Ashab","Kandiller, Muharrem ve Mübarek Geceler","birey","bilgilendirme; teşvik","genel","ahlaki"
"2013-11-08","08.11.2013","MUHARREM AYI VE KERBELÂ","Kandiller, Muharrem ve Mübarek Geceler","Toplumsal Dayanışma, Merhamet ve Kardeşlik","cemaat-toplum","teselli; teşvik","ümmet","ritüel; ahlaki"
"2013-12-13","13.12.2013","DÜNYADA YOLCU OLABİLMEK!","İman, Tevhid ve Ahiret","","birey","teşvik; bilgilendirme","genel","ahlaki"
"2013-12-27","27.12.2013","ÖMÜR SERMAYESİ TÜKENİRKEN…","Sabır, Tevekkül ve Manevi Olgunluk","İslam Coğrafyası ve Küresel Meseleler","karma","uyarı; teşvik","genel","ahlaki"
"2014-01-10","10.01.2014","MEVLİD-İ NEBİ","Peygamberimiz ve Ashab","Kandiller, Muharrem ve Mübarek Geceler","birey","teşvik","genel","ahlaki; ritüel"
"2014-01-31","31.01.2014","NASIL BİR KARDEŞLİK?","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ahlak, Erdem ve Söz","birey","bilgilendirme; teşvik","genel","ahlaki"
"2014-02-07","07.02.2014","DİN SAMİMİYETTİR","Ahlak, Erdem ve Söz","İbadet ve Kulluk","birey","bilgilendirme; teşvik","genel","ahlaki"
