sira,ana_kategori,ikincil_kategoriler
"3","Toplumsal Dayanışma, Merhamet ve Kardeşlik",""
"8","Vatan, Millet ve Tarih",""
"13","Peygamberimiz ve Ashab","Kandiller, Muharrem ve Mübarek Geceler"
"18","Kandiller, Muharrem ve Mübarek Geceler","İbadet ve Kulluk"
"23","Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik"
"28","Toplumsal Dayanışma, Merhamet ve Kardeşlik","İslam Coğrafyası ve Küresel Meseleler"
"33","İman, Tevhid ve Ahiret",""
"38","Vatan, Millet ve Tarih","Toplumsal Dayanışma, Merhamet ve Kardeşlik"
"43","Ekonomik Hayat: Kazanç, Zekat ve İsraf",""
"48","Toplumsal Dayanışma, Merhamet ve Kardeşlik",""
"53","Sabır, Tevekkül ve Manevi Olgunluk","İman, Tevhid ve Ahiret"
"58","Ahlak, Erdem ve Söz",""
"63","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim",""
"68","Ahlak, Erdem ve Söz",""
"73","Aile, Çocuk ve Nesil",""
"78","Peygamberimiz ve Ashab","Kandiller, Muharrem ve Mübarek Geceler"
"83","Sabır, Tevekkül ve Manevi Olgunluk",""
"88","Ekonomik Hayat: Kazanç, Zekat ve İsraf",""
"93","İbadet ve Kulluk",""
"98","İman, Tevhid ve Ahiret",""
"103","Kandiller, Muharrem ve Mübarek Geceler","Afet, Kriz ve Sağlık"
"108","Vatan, Millet ve Tarih",""
"113","Sabır, Tevekkül ve Manevi Olgunluk","İman, Tevhid ve Ahiret"
"118","Ekonomik Hayat: Kazanç, Zekat ve İsraf",""
"123","Ahlak, Erdem ve Söz",""
"128","Ekonomik Hayat: Kazanç, Zekat ve İsraf",""
"133","İman, Tevhid ve Ahiret",""
"138","Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik"
"143","İbadet ve Kulluk",""
"148","İbadet ve Kulluk",""
"153","Afet, Kriz ve Sağlık","Kandiller, Muharrem ve Mübarek Geceler"
"158","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim",""
"163","İslam Coğrafyası ve Küresel Meseleler","Sabır, Tevekkül ve Manevi Olgunluk"
"168","Vatan, Millet ve Tarih","Toplumsal Dayanışma, Merhamet ve Kardeşlik"
"173","Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik"
"178","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim",""
"183","Ekonomik Hayat: Kazanç, Zekat ve İsraf",""
"188","Ramazan, Oruç ve Bayramlar","Toplumsal Dayanışma, Merhamet ve Kardeşlik"
"193","Kandiller, Muharrem ve Mübarek Geceler","Toplumsal Dayanışma, Merhamet ve Kardeşlik"
"198","Vatan, Millet ve Tarih",""
