sure,ayet,atif_sayisi
Al-i İmran,139,16
Hicr,99,15
Maide,32,11
Alak,1,10
Hucurat,10,9
En'am,162,8
Nisa,93,7
Bakara,195,7
İnşirah,5,7
Al-i İmran,92,7
Bakara,286,6
Necm,39,6
Zümer,9,6
Tahrim,6,6
Bakara,187,6
İsra,70,6
Hadid,4,6
Enbiya,92,6
Rum,41,6
Bakara,183,5
Nahl,97,5
Bakara,152,5
İsra,14,5
Al-i İmran,105,5
Al-i İmran,147,5
Maide,2,5
İsra,36,5
Ankebut,45,5
Maide,90,5
Taha,132,5
Tevbe,40,4
Haşr,10,4
Bakara,155,4
Asr,1,4
Hucurat,13,4
İbrahim,40,4
A'raf,23,4
Mülk,2,4
Fussilet,34,4
Bakara,186,4
Fatiha,5,4
Kehf,46,4
Nisa,29,4
Saff,8,4
Furkan,67,4
Tin,4,4
Al-i İmran,8,4
Kıyamet,36,4
Tevbe,111,4
Hucurat,12,4
Nur,30,4
Zilzal,7,4
İsra,32,4
Hud,112,4
Al-i İmran,104,4
Al-i İmran,164,3
Tevbe,71,3
Tevbe,20,3
Furkan,77,3
Bakara,201,3
Haşr,18,3
Kevser,1,3
Maide,8,3
Bakara,128,3
Mü'min,60,3
Bakara,276,3
Al-i İmran,173,3
Bakara,205,3
Hac,77,3
Sebe,39,3
Kehf,13,3
Kehf,30,3
Nahl,125,3
Bakara,110,3
Tekasür,8,3
Al-i İmran,169,3
Furkan,74,3
Enbiya,107,3
Mü'minun,1,3
Al-i İmran,134,3
İnşirah,1,3
Hucurat,6,3
İsra,81,3
Al-i İmran,161,3
Kaf,18,3
Yasin,65,3
Hud,42,3
Enfal,60,3
Tevbe,36,2
Müddessir,1,2
Tevbe,128,2
Duha,7,2
Bakara,168,2
Kasas,77,2
Kalem,4,2
A'raf,199,2
İnşirah,7,2
Hac,27,2
Mümtehine,4,2
Meryem,59,2
Bakara,275,2
Mutaffifin,1,2
Rum,21,2
Saffat,102,2
Zuhruf,32,2
Bakara,274,2
Felak,1,2
Bakara,222,2
Bakara,257,2
Nisa,86,2
Nisa,124,2
İsra,9,2
Maide,28,2
Kaf,16,2
Meryem,96,2
Nisa,41,2
Enfal,28,2
Enfal,25,2
Ala,14,2
Al-i İmran,133,2
İbrahim,7,2
Hucurat,11,2
Ahzab,45,2
Al-i İmran,185,2
Nur,31,2
Bakara,197,2
İsra,53,2
Kamer,45,2
İsra,19,2
Nisa,7,2
Mü'minun,8,2
İnfitar,6,2
Lokman,17,2
Al-i İmran,54,2
Zariyat,55,2
Hud,113,2
Rahman,9,2
Al-i İmran,12,2
Lokman,18,2
Nur,19,2
Mutaffifin,14,1
Nahl,59,1
Kadir,1,1
Maide,27,1
İsra,80,1
En'am,82,1
Yusuf,101,1
Bakara,114,1
Kehf,45,1
Maide,48,1
Haşr,9,1
Meryem,31,1
Ahzab,33,1
Taha,114,1
Bakara,134,1
Bakara,126,1
Nisa,48,1
Tekvir,26,1
Haşr,19,1
Cuma,9,1
Necm,32,1
Bakara,44,1
Nasr,3,1
Beyyine,7,1
A'raf,31,1
Muhammed,7,1
Maide,6,1
Müddessir,4,1
Şems,7,1
Bakara,208,1
Bakara,185,1
Zümer,3,1
Alak,15,1
Hac,38,1
A'raf,96,1
Hicr,46,1
Zümer,73,1
Bakara,165,1
Kehf,104,1
Bakara,151,1
Nahl,66,1
Bakara,285,1
Nahl,128,1
İnşirah,8,1
Bakara,256,1
Kasas,24,1
Bakara,250,1
Kehf,107,1
Bakara,129,1
Ra'd,29,1
Bakara,179,1
Hicr,49,1
Hicr,50,1
Bakara,267,1
Nahl,80,1
Mülk,30,1
Nebe,10,1
Fetih,10,1
İnsan,8,1
Furkan,63,1
Mü'minun,112,1
İsra,26,1
En'am,141,1
En'am,54,1
Mü'minun,51,1
Kasas,17,1
Saffat,100,1
Yunus,57,1
Yunus,26,1
Duha,6,1
Buruc,14,1
Furkan,72,1
A'raf,151,1
Enbiya,86,1
A'raf,33,1
Taha,25,1
Ahzab,72,1
Maun,4,1
Lokman,12,1
Al-i İmran,195,1
Al-i İmran,130,1
Hadid,18,1
Bakara,272,1
Ankebut,57,1
Furkan,70,1
Tahrim,8,1
Nisa,17,1
Beled,12,1
En'am,35,1
Hud,23,1
Mü'minun,5,1
Rum,54,1
A'raf,56,1
Şura,30,1
Bakara,278,1
Al-i İmran,200,1
Casiye,13,1
Enbiya,16,1
Rahman,29,1
Ala,16,1
Ankebut,64,1
Nisa,58,1
Maide,1,1
Enbiya,30,1
Mü'minun,18,1
Fatiha,1,1
Al-i İmran,191,1
En'am,38,1
Duha,9,1
Rum,47,1
Şuara,3,1
Hakka,19,1
En'am,160,1
A'raf,26,1
Enbiya,1,1
Kıyamet,13,1
A'raf,55,1
A'raf,156,1
Enfal,74,1
En'am,164,1
A'raf,179,1
Enbiya,47,1
Nur,24,1
Mü'minun,97,1
Bakara,82,1
Şura,37,1
Enfal,67,1
Nur,55,1
Nur,21,1
Lokman,16,1
Şura,39,1
Müzzemmil,20,1
Yasin,61,1
Yasin,3,1
Yasin,78,1
Yasin,55,1
Yasin,58,1
Yasin,63,1
Nur,32,1
İsra,27,1
Maide,54,1
Buruc,12,1
A'raf,27,1
Hac,40,1
Ahkaf,15,1
Mü'minun,9,1
Zariyat,19,1
Necm,3,1
En'am,10,1
Bakara,196,1
Maide,105,1
Enfal,72,1
Hud,114,1
Nisa,163,1
Maide,3,1
Şuara,78,1
Alak,19,1
Nisa,78,1
Abese,33,1
Maide,87,1
Al-i İmran,103,1
Enfal,46,1
