sure,ayet_no,kac_kez,ayet_meali_hutbede_gecen,tema,tarih,hutbe_basligi
Al-i İmran,139,17,"Gevşeklik göstermeyin, üzülmeyin; iman etmişseniz üstün olan sizsiniz.","Vatan, Millet ve Tarih",12.03.2021,İSTİKLÂL MARŞI: HAKKIDIR HAKKA TAPAN MİLLETİMİN İSTİKLÂL!
Al-i İmran,139,17,"Gevşemeyin, üzülmeyin. Eğer iman etmişseniz üstün olan sizlersiniz","Vatan, Millet ve Tarih",14.11.2025,VATAN VE MİLLET RUHUMUZ
Al-i İmran,139,17,"Gevşeklik göstermeyin, üzülmeyin; eğer inanmışsanız şüphesiz en üstün olan sizsiniz.","Vatan, Millet ve Tarih",16.03.2018,MİLLETİMİZİN VAROLUŞ MÜCADELESİ: ÇANAKKALE ZAFERİ
Al-i İmran,139,17,"Yılgınlık göstermeyin, hüzünlenmeyin. Eğer iman etmiş kimseler iseniz üstün gelecek olan sizlersiniz.","Vatan, Millet ve Tarih",18.03.2016,ÇANAKKALE VE BİRLİK RUHU
Al-i İmran,139,17,Eğer inanıyorsanız üstün gelecek olan sizlersiniz,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",21.08.2015,BİRLİK VE BERABERLİĞİMİZİN HARCI: KARDEŞLİĞİMİZ
Al-i İmran,139,17,"Gevşeklik göstermeyin, üzülmeyin! Eğer inanmışsanız şüphesiz en üstün olan sizsiniz.","Vatan, Millet ve Tarih",22.07.2016,"GÜN, MİLLETÇE KENETLENME VE GELECEĞİMİZİ İNŞA ETME GÜNÜDÜR"
Al-i İmran,139,17,"Gevşeklik göstermeyin, üzüntüye kapılmayın. Eğer inanmışsanız üstün gelecek olanlar sizlersiniz","Ahlak, Erdem ve Söz",22.08.2014,HAYÂ HAYATTIR!
Al-i İmran,139,17,"Gevşeklik göstermeyin, üzüntüye kapılmayın. Eğer inanmışsanız üstün gelecek olanlar sizlersiniz","Vatan, Millet ve Tarih",23.12.2016,ALLAH’IN YARDIMI MÜMİNLERLE BERABERDİR.
Al-i İmran,139,17,Eğer inanıyorsanız üstün gelecek olan sizlersiniz,"Vatan, Millet ve Tarih",24.10.2025,"BİRLİKTE BEREKET, KARDEŞLİKTE RAHMET VARDIR"
Al-i İmran,139,17,"Gevşeklik göstermeyin, üzülmeyin. Eğer müminler iseniz üstün gelecek olanlar sizlersiniz","Vatan, Millet ve Tarih",25.08.2017,ZAFERLER ALLAH'TANDIR (MALAZGİRT ZAFERİ)
