ayet,toplam,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",İbadet ve Kulluk,"Aile, Çocuk ve Nesil","İman, Tevhid ve Ahiret","Ahlak, Erdem ve Söz","Ramazan, Oruç ve Bayramlar","Vatan, Millet ve Tarih","Sabır, Tevekkül ve Manevi Olgunluk","Ekonomik Hayat: Kazanç, Zekat ve İsraf","Kandiller, Muharrem ve Mübarek Geceler",Peygamberimiz ve Ashab,İslam Coğrafyası ve Küresel Meseleler,"Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","Afet, Kriz ve Sağlık",Kur'an-ı Kerim
Al-i İmran 139,17,1,0,0,0,1,0,15,0,0,0,0,0,0,0,0
Hicr 99,15,0,5,0,0,1,6,0,2,0,1,0,0,0,0,0
Maide 32,11,6,0,0,0,0,0,1,0,1,1,0,1,0,1,0
Alak 1,10,0,3,0,0,0,0,0,0,0,1,0,0,6,0,0
Hucurat 10,9,1,0,0,0,0,3,3,0,0,1,0,1,0,0,0
En'am 162,8,0,4,0,1,0,3,0,0,0,0,0,0,0,0,0
Zümer 9,7,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0
Nisa 93,7,2,0,0,0,1,1,2,0,0,0,0,1,0,0,0
Bakara 195,7,0,0,0,0,0,0,0,1,3,0,0,0,0,3,0
İnşirah 5,7,0,0,0,0,0,1,2,1,0,0,0,1,0,2,0
Al-i İmran 92,7,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0
Bakara 286,6,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0
Necm 39,6,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0
Tahrim 6,6,0,0,1,0,0,0,2,0,0,0,0,0,1,1,1
Bakara 187,6,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0
İsra 70,6,3,0,1,0,0,0,0,0,0,0,1,0,0,1,0
Hadid 4,6,0,3,0,0,1,0,0,2,0,0,0,0,0,0,0
Enbiya 92,6,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Rum 41,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0
Bakara 183,5,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0
Nahl 97,5,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0
Bakara 152,5,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0
İsra 14,5,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0
Al-i İmran 105,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
Al-i İmran 147,5,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0
Maide 2,5,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0
İsra 36,5,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0
Nur 30,5,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0
Ankebut 45,5,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0
Maide 90,5,0,0,0,1,0,0,0,1,2,0,0,0,0,1,0
İsra 32,5,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0
Taha 132,5,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0
Tevbe 40,4,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0
Haşr 10,4,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Bakara 155,4,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0
Asr 1,4,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0
Hucurat 13,4,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0
İbrahim 40,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
A'raf 23,4,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0
Mülk 2,4,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0
Fussilet 34,4,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Bakara 186,4,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0
Fatiha 5,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
Kehf 46,4,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0
Nisa 29,4,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0
Nahl 125,4,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0
Saff 8,4,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0
Furkan 67,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Tin 4,4,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Al-i İmran 8,4,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0
