kaynak,bolum,kac_kez,hadis_meali_hutbede_gecen,tema,tarih,hutbe_basligi
Tirmizî,Birr,45,"Rabbin hoşnutluğu anne babanın hoşnutluğuna, Rabbin öfkesi de, anne babanın öfkesine bağlıdır.","Aile, Çocuk ve Nesil",02.09.2022,ANNE BABA: CENNETİ KAZANMA VESİLESİ
Tirmizî,Birr,45,"Anne baba, kişinin cennete girmesine vesile olacak en yüce kapılardan birisidir. Bu kapıdan girme fırsatını kaybetmek ya da değerlendirmek artık sana kalmıştır!","Aile, Çocuk ve Nesil",02.09.2022,ANNE BABA: CENNETİ KAZANMA VESİLESİ
Tirmizî,Birr,45,"Hiçbir anne baba, çocuğuna güzel terbiyeden daha kıymetli bir bağışta bulunmamıştır",Kur'an-ı Kerim,03.07.2026,YAZ KUR’AN KURSLARI
Tirmizî,Birr,45,Doldurduğun kovayı kardeşinin boş kovasına boşaltman sadakadır.,"Ahlak, Erdem ve Söz",04.04.2014,DOĞRULUK VE SADAKA
Tirmizî,Birr,45,"Hiçbir baba, çocuğuna güzel terbiyeden daha kıymetli bir miras bırakmamıştır.","Aile, Çocuk ve Nesil",04.04.2025,GÜÇLÜ BİR TOPLUMUN İNŞASINDA ANNE BABANIN ROLÜ
Tirmizî,Birr,45,"Mümin, insanları karalayan, lânet eden, kaba ve kötü sözlü, hayâsız birisi olamaz.","Ahlak, Erdem ve Söz",04.08.2017,RAHMAN’A HAS KUL OLABİLMEK
Tirmizî,Birr,45,Kıyamet gününde müminin terazisinde güzel ahlaktan daha ağır bir şey olmayacaktır,Peygamberimiz ve Ashab,04.09.2026,PEYGAMBERİMİZ VE GÜZEL AHLAK
Tirmizî,Birr,45,"Cebrâil, bana komşu hakkından o kadar çok bahsetti ki, neredeyse komşuyu komşuya mirasçı yapacak zannettim","Toplumsal Dayanışma, Merhamet ve Kardeşlik",05.04.2019,MÜSLÜMAN HAYIRLI BİR KOMŞUDUR
Tirmizî,Birr,45,"Dünyadaki çiçeğim, reyhanım","Kandiller, Muharrem ve Mübarek Geceler",05.08.2022,MUHARREM AYI VE KERBELÂ
Tirmizî,Birr,45,"Hiçbir anne baba, çocuğuna güzel terbiyeden daha kıymetli bir bağışta bulunmamıştır.","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim",05.09.2025,İLİM HAKKI BİLMEKTİR
Tirmizî,Birr,45,"Rabbin hoşnutluğu, anne babanın hoşnutluğuna, Rabbin öfkesi de anne babanın öfkesine bağlıdır.","Toplumsal Dayanışma, Merhamet ve Kardeşlik",08.08.2025,SILA-İ RAHİMLE BEREKETLENEN TATİL
Tirmizî,Birr,45,"Siz yerdekilere merhamet edin ki, göktekiler de size merhamet etsin.","Toplumsal Dayanışma, Merhamet ve Kardeşlik",08.11.2024,MERHAMET EDEN MERHAMET BULUR
Tirmizî,Birr,45,Küçüklerimize sevgi ile muamele etmeyen bizden değildir.,Peygamberimiz ve Ashab,12.04.2013,PEYGAMBERİMİZ VE İNSAN ONURU
Tirmizî,Birr,45,Büyüklerimize saygı göstermeyen bizden değildir.,Peygamberimiz ve Ashab,12.04.2013,PEYGAMBERİMİZ VE İNSAN ONURU
Tirmizî,Birr,45,"…Müslümanların gıybetini yapmayın ve onların gizli hâllerini araştırmayın. Müslüman kardeşinin ayıbını ortaya dökenin, Allah da ayıbını ortaya döker...","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim",14.02.2025,"MAHREMİYET, İNSANI SAYGIN KILAR"
Tirmizî,Birr,45,"Hiçbir baba, çocuğuna güzel ahlaktan daha kıymetli bir miras bırakmamıştır.","Aile, Çocuk ve Nesil",14.06.2019,"CAMİLER ÇOCUK DOLSUN, AHLAKI KUR’AN OLSUN"
Tirmizî,Birr,45,"Küçüklerimize sevgi, büyüklerimize saygı göstermeyen bizden değildir..","Toplumsal Dayanışma, Merhamet ve Kardeşlik",15.04.2011,MERHAMET EĞİTİMİ
Tirmizî,Birr,45,"Büyüklerimize saygı, küçüklerimize sevgi ve şefkat göstermeyen bizden değildir.","Aile, Çocuk ve Nesil",15.11.2019,PEYGAMBERİMİZ VE AİLE
