tarih,yil,baslik,ana_tema,ikincil_temalar,ozet,anahtar_kelimeler
15.04.2011,2011,MERHAMET EĞİTİMİ,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ahlak, Erdem ve Söz","Bu hutbe, günümüz insanlığının vicdanından hızla çekilen merhamet duygusunu ve bunun yol açtığı şiddet, öfke ve zorbalığı ele alır. Peygamberin örnekliğinde herkese, hatta bitki ve hayvanlara karşı bile şefkat gösterilmesi gerektiği vurgulanarak toplumsal bir merhamet eğitimine duyulan ihtiyaç anlatılır. Hutbe, merhameti tüm ilişkilerin odağına koyma çağrısıyla ve merhamet etmeyene Allah'ın da merhamet etmeyeceği hatırlatmasıyla sona erer.",merhamet; şiddet; vicdan; ahlaki yozlaşma; kutlu doğum haftası; toplumsal duyarlılık
21.10.2011,2011,AZÎZ ŞEHİTLERİMİZE…,"Vatan, Millet ve Tarih","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Bu hutbe, güvenlik güçlerine yönelik terör saldırılarında şehit düşen askerlerin ardından millet olarak duyulan ortak acıyı ve şehitliğin dini anlamda taşıdığı yüksek mertebeyi konu edinir. Şehitlerin Allah katında diri olduğu ve ebedi nimetlere kavuştuğu vurgulanarak, bu saldırıların milletin kardeşlik ve birlik ruhunu asla kıramayacağı anlatılır. Hutbe, şehit ailelerine sabır ve metanet dileği, şehitlere rahmet duasıyla tamamlanır.",şehitlik; terör saldırıları; güvenlik güçleri; vatan sevgisi; milli birlik; başsağlığı
28.10.2011,2011,MÜMİNLER TEK BİR VÜCUT GİBİDİR,"Afet, Kriz ve Sağlık","Sabır, Tevekkül ve Manevi Olgunluk","Van ve Erciş depreminin ardından verilen bu hutbe, doğal afetlerin dini açıdan nasıl doğru okunması ve yorumlanması gerektiğini ele alır. Musibetler karşısında insanın hem tedbir alma sorumluluğunu hem de sabır, dua ve milletçe dayanışma görevini taşıdığı, müminlerin tek bir vücut gibi olduğu vurgulanır. Hutbe, deprem mağdurları için yardım kampanyalarına destek çağrısı ve Cumhuriyet Bayramı tebrikiyle sona erer.",van depremi; musibet; sabır; dayanışma; afetler; yardım kampanyası
06.11.2011,2011,KURBAN BAYRAMI,"Ramazan, Oruç ve Bayramlar","Peygamberimiz ve Ashab; Aile, Çocuk ve Nesil","Kurban Bayramı vesilesiyle verilen bu hutbe, kurbanın et ihtiyacından öte Allah'a teslimiyet, fedakârlık ve takva bilincinin bir ifadesi olduğunu anlatır. Hz. İbrahim ve İsmail'in örnekliğinde kurbanın dünyevileşmeye karşı bir uyarı ve gönülleri birleştiren bir ibadet olduğu vurgulanır. Hutbe, depremde ve şehadette kaybedilenlerin anılması ile bayramın kimsesizlere, yetimlere ve muhtaçlara sahip çıkma vesilesi olması dileğiyle tamamlanır.",kurban bayramı; hz. i̇brahim; teslimiyet; fedakârlık; yetimlere sahip çıkmak; hac
25.11.2011,2011,"EŞİMİZ, EVLADIMIZ, ANNEMİZ: KADIN","Aile, Çocuk ve Nesil",,"Bu hutbe, kadının İslam'daki değerini ve toplumda maruz kaldığı şiddet, baskı ve aşağılamanın dinle asla bağdaşmadığını ele alır. Kur'an ve Peygamber örnekliğinden hareketle kadının eş, anne ve evlat olarak saygıya layık bir varlık olduğu, cahiliye dönemi zihniyetinin kadın algısının İslam ile tamamen değiştirildiği anlatılır. Hutbe, şiddetin hayatımızdan uzak tutulması ve kadına saygının bir toplumun yükselişinin şartı olduğu vurgusuyla sona erer.",kadın hakları; kadına yönelik şiddet; aile içi zulüm; cahiliye zihniyeti; eş ve anne olarak kadın; toplumsal saygı
02.12.2011,2011,KERBELA’YI ANLAMAK,"Kandiller, Muharrem ve Mübarek Geceler",,"Muharrem ayı vesilesiyle anlatılan bu hutbe, Kerbela'da Hz. Hüseyin ve yakınlarının zulme karşı onurlu direnişini ve bu olayın tüm Müslümanların ortak vicdanında bıraktığı derin acıyı ele alır. Kerbela hadisesinin doğru anlaşılması, ibret alınması ve ümmet arasında ayrılığa değil kardeşliğe vesile olması gerektiği vurgulanır. Hutbe, aşure geleneğinin paylaşma ve dayanışmayı simgelediği hatırlatmasıyla ve şehitlere rahmet duasıyla tamamlanır.",kerbela; hz. hüseyin; muharrem ayı; aşure; ehl-i beyt; ümmet birliği
30.12.2011,2011,ZAMAN BİLİNCİ,"Sabır, Tevekkül ve Manevi Olgunluk",,"Bu hutbe, İslam'da zamana verilen büyük önemi ve zamanın geri getirilemeyen en değerli nimet olduğunu anlatır. Sağlık ve boş vaktin çoğu insan tarafından değerlendirilemeyen iki büyük nimet olduğu hatırlatılarak, yeni yıla girerken geçmişin muhasebesinin yapılması ve zamanın bilinçli şekilde değerlendirilmesi gerektiği vurgulanır. Hutbe, yeni yılın barış, huzur ve bereket getirmesi duasıyla sona erer.",zaman bilinci; yılbaşı; muhasebe; zamanı değerlendirmek; nimetlerin kıymeti; hicri ve miladi takvim
03.02.2012,2012,MEVLİD-İ NEBİ,Peygamberimiz ve Ashab,"Kandiller, Muharrem ve Mübarek Geceler","Mevlid Kandili vesilesiyle verilen bu hutbe, Hz. Peygamber'in doğumunun insanlık için cehaletten aydınlığa, zulümden adalete bir dönüşüm olduğunu anlatır. Peygamberin 'içimizden biri' olarak gönderilmesinin onu her alanda örnek almayı gerekli kıldığı, O'na duyulan sevginin ancak mesajını hayata geçirmekle anlam kazanacağı vurgulanır. Hutbe, Peygamber'e salat ve selam getirilerek, mevlid kandilinin tebrik edilmesiyle tamamlanır.",mevlid-i nebi; hz. muhammed; peygamber sevgisi; örnek alma; salavat; kandil
06.04.2012,2012,KARDEŞLİK ÇAĞRISI,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",Peygamberimiz ve Ashab,"Bu hutbe, İslam medeniyetinde insanlığın aynı özden gelen bir aile olarak kabul edildiğini ve kardeşliğin etnik, siyasi ya da sosyal farklılıkların üstünde bir iman bağı olduğunu anlatır. Ensar ile Muhacir arasındaki tarihi kardeşlik örneğinden hareketle günümüzdeki kardeşlik ihlallerine, kıskançlık ve menfaat kaynaklı çatışmalara dikkat çekilir. Hutbe, Kutlu Doğum Haftası vesilesiyle kardeşlik bağlarının güçlenmesi dileğiyle sona erer.",kardeşlik; ensar ve muhacir; veda hutbesi; eşitlik; kutlu doğum haftası; insanlık ailesi
13.04.2012,2012,KARDEŞLİK AHLAKI VE HUKUKU,"Ahlak, Erdem ve Söz","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Bu hutbe, kardeşliğin sadece bir söylem değil, hadislerle temellendirilmiş somut bir ahlak ve hukuk sistemi olduğunu anlatır. Kardeşliğin, kusurları örtmek, sıkıntıları gidermek, birbirine kin ve haset beslememek gibi somut sorumluluklar içerdiği vurgulanır. Hutbe, müminlerin birbirine karşı merhametli ve samimi kardeşler olması için yapılan dua ile sona erer.",kardeşlik ahlakı; kardeşlik hukuku; kusur örtmek; haset; dargınlık; müslüman kardeşliği
29.06.2012,2012,BERÂT’A YOL ARAMAK,"Kandiller, Muharrem ve Mübarek Geceler","İman, Tevhid ve Ahiret","Berat Kandili vesilesiyle verilen bu hutbe, Allah'ın af ve merhametinin sınırsızlığını, tövbe kapısının her zaman açık olduğunu anlatır. Hz. Adem'in tövbesinden örnek verilerek, Berat gecesinin günahlardan arınma ve Allah'a yönelme için bereketli bir fırsat olduğu vurgulanır. Hutbe, tüm müminlerin Berat Kandili'nin kutlanması ve affa vesile olması duasıyla tamamlanır.",berat kandili; tövbe; af dileme; şaban ayı; arınma; mağfiret
20.07.2012,2012,“BEN ORUÇLUYUM” DİYEBİLMEK,"Ramazan, Oruç ve Bayramlar",,"Bu hutbe, Ramazan ayında tutulan orucun sadece yeme-içmeyi bırakmak değil, dilin, elin, gözün ve gönlün de kötülüklerden korunduğu kapsamlı bir ibadet olduğunu anlatır. Oruç tutan kişinin kötü söz ve kavgadan uzak durup 'ben oruçluyum' diyebilmesi gerektiği, orucun insanı kötülüklere karşı koruyan bir kalkan olduğu vurgulanır. Hutbe, Ramazan'ın insanı değiştirmesi ve oruçların cehennemden koruyucu olması dileğiyle sona erer.",oruç; ramazan ayı; kalkan; dilin ve elin korunması; kötü söz; nefis terbiyesi
27.07.2012,2012,SEVGİ VE BARIŞ DİLİ: SELÂM,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ahlak, Erdem ve Söz","Bu hutbe, selamın Hz. Adem'den günümüze uzanan, sevgi, güven ve kardeşlik ifade eden bir barış dili olduğunu anlatır. Selam vermenin ve almanın dini bir görev olduğu, tanıdık-tanımadık ayrımı yapmadan herkese selam vererek toplumda kardeşlik bağlarının güçlendirilmesi gerektiği vurgulanır. Hutbe, selamın çocuklara öğretilmesi ve toplumda yaygınlaştırılması çağrısıyla sona erer.",selam; esenlik dilemek; kardeşlik bağları; tebessüm; toplumsal güven; hz. adem
19.08.2012,2012,RAMAZAN BAYRAMI,"Ramazan, Oruç ve Bayramlar","Ahlak, Erdem ve Söz; Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ramazan Bayramı vesilesiyle verilen bu hutbe, Ramazan ayı boyunca yaşanan manevi eğitimin sabır, paylaşma ve kardeşlik duygularını güçlendirdiğini anlatır. Bayramın kırgınlıkların onarıldığı, birlik ve kardeşliğin pekiştiği kutlu bir zaman dilimi olduğu vurgulanır. Hutbe, kimsesizlere, yoksullara yardım eli uzatma ve birbirini Allah için sevme çağrısıyla tamamlanır.",ramazan bayramı; kardeşlik; nefis muhasebesi; zekat ve fitre; bayramlaşma; kırgınlıkları gidermek
28.09.2012,2012,YETER Kİ GÖNÜLLER ENGELLİ OLMASIN,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",İbadet ve Kulluk,"Bu hutbe, sahabi Zahir örneğinden hareketle engelli bireylerin İslam'da hor görülmediğini, asıl değerin görünüşte değil kalp ve amelde olduğunu anlatır. Kur'an'daki çeşitli peygamber kıssalarından örnekler verilerek engelliliğin başarıya ve topluma katkıya asla engel olmadığı vurgulanır. Hutbe, Camiler ve Din Görevlileri Haftası'nın bu yılki temasının 'cami ve engelliler' olması nedeniyle camilerin engellilere erişilebilir kılınması dileğiyle sona erer.",engellilik; ayrımcılık; insan onuru; camiler haftası; erişilebilirlik; liyakat
16.11.2012,2012,MEDENİYET YOLCULUĞU: HİCRET,Peygamberimiz ve Ashab,"Kandiller, Muharrem ve Mübarek Geceler; Toplumsal Dayanışma, Merhamet ve Kardeşlik","Hicri yılbaşı vesilesiyle verilen bu hutbe, Hz. Peygamber'in Mekke'den Medine'ye hicretinin sıradan bir göç değil, medeniyete açılan kutlu bir yolculuk olduğunu anlatır. Hicretin dayanışma, paylaşma ve kardeşliğin sembolü olduğu, Medine'de kin dolu bir toplumdan sevgi ve merhamet toplumunun inşa edildiği vurgulanır. Hutbe, günümüz insanının da kötülüklerden Allah'a doğru bir hicret içinde olması gerektiği mesajıyla sona erer.",hicret; hicri yılbaşı; medine; medeniyet; ensar ve muhacir; dayanışma
28.12.2012,2012,“DÜN” EYLEDİĞİMİZ GÜNLER…,"Ekonomik Hayat: Kazanç, Zekat ve İsraf","Sabır, Tevekkül ve Manevi Olgunluk; Kandiller, Muharrem ve Mübarek Geceler","Bu hutbe, yılın sonunda yapılması gereken nefis muhasebesini ve zamanın hızla akıp gittiğini anlatır. Yılbaşı kutlamalarının başka kültürlere ait unsurlarla bir tüketim ve eğlence kültürüne dönüşmesinin eleştirildiği, asıl önemli olanın zamanı değerlendirmek ve şükretmek olduğu vurgulanır. Hutbe, Suriye'deki savaş mağdurlarına duyarlılık çağrısı ve yardım kampanyası duyurusuyla tamamlanır.",yılbaşı; zaman muhasebesi; tüketim kültürü; kumar ve şans oyunları; suriye insani yardım; kültür erozyonu
25.01.2013,2013,ALLAH’IN SEVMEDİĞİ DAVRANIŞ: İSRAF,"Ekonomik Hayat: Kazanç, Zekat ve İsraf",,"Bu hutbe, israfın Allah'ın sevmediği bir davranış olduğunu ve özellikle ekmek israfının ne denli büyük bir vebal olduğunu anlatır. Modern hayatın bireyselleşme ve bencilleşmeye yol açtığı, dünyada milyonlarca insan açlık çekerken her gün milyonlarca ekmeğin çöpe atıldığı örnekleriyle israf ve tüketim çılgınlığı eleştirilir. Hutbe, hiçbir nimetin israf edilmemesi ve Allah'tan günahların bağışlanması duasıyla sona erer.",israf; ekmek israfı; tüketim çılgınlığı; kanaat; açlık; bereket
08.03.2013,2013,BİR KUL OLARAK KADIN,"Aile, Çocuk ve Nesil","Peygamberimiz ve Ashab; Toplumsal Dayanışma, Merhamet ve Kardeşlik","Bu hutbe, kadının Allah katında erkekle eşit değere sahip bir kul olduğunu ve Peygamber'in kadına verdiği değeri örneklerle anlatır. Hz. Hatice, Hz. Aişe gibi örnek kadın şahsiyetlerden bahsedilerek kadının eş, anne ve evlat olarak her türlü hürmete layık olduğu vurgulanır. Hutbe, kadına yönelik şiddetin ve baskının dinle hiçbir şekilde bağdaşmadığı hatırlatmasıyla tamamlanır.",kadın hakları; eşitlik; hz. hatice; kadına şiddet; toplumsal onur; kadın örnek şahsiyetler
15.03.2013,2013,ŞEHİTLİK VE ÇANAKKALE,"Vatan, Millet ve Tarih",,"Çanakkale Zaferi'nin yıldönümü vesilesiyle verilen bu hutbe, şehitliğin İslam'da en yüce mertebelerden biri olduğunu ve Çanakkale'deki başarının şehadet arzusuyla kazanıldığını anlatır. Din, vatan ve namus uğruna verilen mücadelenin kıymetine değinilerek ecdadın bu topraklardaki kahramanlığı örnek gösterilir. Hutbe, şehitlerin rahmetle anılması ve Çanakkale ruhunun canlı tutulması dileğiyle sona erer.",çanakkale zaferi; şehitlik; vatan sevgisi; malazgirt; seyit onbaşı; milli mücadele ruhu
29.03.2013,2013,SOKAĞIN YETİMLERİ: ÇOCUKLARIMIZ,"Aile, Çocuk ve Nesil",,"Bu hutbe, yetim ve öksüz çocuklara Peygamber'in gösterdiği şefkati örnek göstererek, günümüzde sokakta yaşamak zorunda kalan çocukların içine düştüğü tehlikeleri anlatır. Aile kurumundaki çözülmelerin ve boşanmaların sokak çocukları sorununun temel nedenlerinden biri olduğu, bu çocukların madde bağımlılığı ve suça sürüklenme riskiyle karşı karşıya olduğu vurgulanır. Hutbe, sokağın yetimlerine sahip çıkma ve ailelerin dağılmasına izin vermeme çağrısıyla sona erer.",sokak çocukları; yetimler; aile çözülmesi; boşanma; çocuk hakları; madde bağımlılığı
05.04.2013,2013,MÜKERREM BİR VARLIK OLARAK İNSAN,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",,"Bu hutbe, insanın Allah tarafından mükerrem, yani onurlu bir varlık olarak yaratıldığını ve bu onurun ırk, din, dil farkı gözetmeksizin herkese ait olduğunu anlatır. Mükerrem insanın merhamet, hoşgörü ve fazilet sahibi olarak başkalarının onurunu da kendi onuru gibi koruması gerektiği vurgulanır. Hutbe, Kutlu Doğum Haftası'nın bu yılki temasının 'Hz. Peygamber ve İnsan Onuru' olması nedeniyle insan onurunun topluma yerleşmesi dileğiyle sona erer.",insan onuru; mükerrem varlık; kutlu doğum haftası; hoşgörü; fazilet; eşitlik
