isim,toplam,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",İbadet ve Kulluk,"Aile, Çocuk ve Nesil","İman, Tevhid ve Ahiret","Ahlak, Erdem ve Söz","Ramazan, Oruç ve Bayramlar","Vatan, Millet ve Tarih","Sabır, Tevekkül ve Manevi Olgunluk","Ekonomik Hayat: Kazanç, Zekat ve İsraf","Kandiller, Muharrem ve Mübarek Geceler",Peygamberimiz ve Ashab,İslam Coğrafyası ve Küresel Meseleler,"Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","Afet, Kriz ve Sağlık",Kur'an-ı Kerim
Hz. Ömer,22,1,3,1,1,1,0,1,1,3,2,4,4,0,0,0
Hz. Ali,20,2,1,6,0,1,0,2,0,0,5,3,0,0,0,0
Hz. Hüseyin,18,0,2,1,0,0,0,2,0,0,13,0,0,0,0,0
Hz. Hatice,15,1,1,5,0,1,0,1,0,1,2,3,0,0,0,0
Muaz bin Cebel,10,2,3,0,2,2,0,0,0,1,0,0,0,0,0,0
Hz. Fatıma,6,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0
Hz. Aişe,6,1,0,2,0,0,0,0,1,1,1,0,0,0,0,0
Ebu Zer el-Gıffari,5,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Hz. Ebu Bekir,5,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0
Enes bin Malik,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Ümmü Seleme,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Selman-ı Farisi,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Hz. Osman,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Hz. Hamza,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bilal-i Habeşi,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hz. Hasan,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Abdullah b. Abbas,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Hz. Zeynep,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdullah bin Mesud,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Nevvâs,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
