sure,atif_sayisi
Bakara,83
Al-i İmran,71
Maide,34
İsra,33
Nisa,24
Hucurat,22
Tevbe,19
Hicr,18
A'raf,16
En'am,16
Nahl,14
Enbiya,14
Furkan,13
İnşirah,13
Kehf,13
Nur,13
Alak,12
Hud,12
Mü'minun,11
Enfal,11
Rum,10
Haşr,9
Zümer,9
Yasin,9
Necm,8
Tahrim,8
Hac,7
Taha,7
Hadid,7
Ankebut,7
İbrahim,6
Ahzab,6
Kaf,6
Lokman,6
Duha,5
Meryem,5
Mülk,5
Fatiha,5
Kıyamet,5
Mutaffifin,4
Kasas,4
Asr,4
Fussilet,4
Saff,4
Tin,4
Zilzal,4
Müddessir,3
Kalem,3
Kevser,3
Mü'min,3
Saffat,3
Sebe,3
Tekasür,3
Ala,3
Şura,3
Rahman,3
Zariyat,3
Mümtehine,2
Zuhruf,2
Felak,2
Yunus,2
Buruc,2
Kamer,2
Şuara,2
İnfitar,2
Kadir,1
Yusuf,1
Tekvir,1
Cuma,1
Nasr,1
Beyyine,1
Muhammed,1
Şems,1
Ra'd,1
Nebe,1
Fetih,1
İnsan,1
Maun,1
Beled,1
Casiye,1
Hakka,1
Müzzemmil,1
Ahkaf,1
Abese,1
