sure,toplam,"Toplumsal Dayanışma, Merhamet ve Kardeşlik",İbadet ve Kulluk,"Aile, Çocuk ve Nesil","İman, Tevhid ve Ahiret","Ahlak, Erdem ve Söz","Ramazan, Oruç ve Bayramlar","Vatan, Millet ve Tarih","Sabır, Tevekkül ve Manevi Olgunluk","Ekonomik Hayat: Kazanç, Zekat ve İsraf","Kandiller, Muharrem ve Mübarek Geceler",Peygamberimiz ve Ashab,İslam Coğrafyası ve Küresel Meseleler,"Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","Afet, Kriz ve Sağlık",Kur'an-ı Kerim
Bakara,68,6,4,7,4,2,5,6,8,9,2,4,3,3,4,1
Hicr,14,2,4,0,1,0,3,0,2,0,2,0,0,0,0,0
Tevbe,13,3,1,1,1,1,0,1,1,0,1,3,0,0,0,0
Kehf,13,0,1,4,1,2,0,0,2,2,0,0,0,1,0,0
Nahl,11,1,0,2,5,1,1,0,0,0,0,0,0,1,0,0
Alak,10,0,3,0,1,0,0,0,0,0,1,0,0,5,0,0
Haşr,9,4,1,0,2,0,0,0,0,0,1,1,0,0,0,0
Zümer,9,0,2,0,0,0,1,0,1,0,0,0,1,4,0,0
Necm,7,0,0,0,0,2,0,0,1,4,0,0,0,0,0,0
Hac,5,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0
Mülk,5,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0
Maide,4,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0
A'raf,4,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0
Asr,4,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0
Fussilet,4,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0
Müddessir,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
Kasas,3,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
Kevser,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Meryem,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
Nisa,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Sebe,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Saff,3,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
Al-i İmran,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Ahzab,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Duha,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Kalem,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
İsra,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
En'am,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
İnşirah,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
İbrahim,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Mümtehine,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Mü'min,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Nasr,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Zuhruf,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mutaffifin,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kadir,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Furkan,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Yusuf,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Hucurat,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tekvir,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cuma,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tahrim,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Beyyine,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Rum,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Muhammed,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Saffat,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Şems,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Felak,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ra'd,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebe,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fetih,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
İnsan,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
