year,Afet ve Kriz,Ahiret ve İman Esasları,Ahlak ve Erdemler,Aile ve Evlilik,Cami ve Cemaat,Dijital Dünya / Bağımlılık,Dini Gün ve Geceler,Diğer / Sınıflandırılamadı,Ekonomi ve Helal Kazanç,Engellilik,Gençlik,Kadın,"Merhamet, Sevgi ve Hoşgörü",Milli ve Tarihi Günler,Sağlık ve Salgın,Toplumsal Dayanışma / Yardımlaşma,Çevre ve Hayvan Hakları,İbadet (Namaz/Oruç/Hac),İlim ve Eğitim,İslam Coğrafyası / Dış Dünya
2011,0,1,0,0,0,0,2,0,0,0,0,1,1,1,0,1,0,0,0,0
2012,0,1,0,1,0,0,2,1,0,1,0,0,0,0,0,2,0,1,0,1
2013,0,3,1,0,0,0,5,0,2,0,1,2,1,1,0,3,2,2,0,1
2014,0,8,8,0,0,1,9,0,1,0,2,0,2,0,0,2,1,3,1,3
2015,0,5,3,0,0,0,7,0,0,0,1,0,6,3,0,2,0,2,1,0
2016,0,15,5,1,1,1,9,1,1,0,0,0,5,7,0,1,0,3,1,1
2017,0,11,7,1,2,0,9,0,3,0,0,0,2,5,0,1,0,6,3,4
2018,0,7,4,5,1,1,8,1,4,0,3,0,4,5,0,2,2,0,2,2
2019,1,9,5,3,1,0,9,0,2,0,1,2,2,4,0,5,1,5,2,1
2020,1,7,6,3,1,1,8,1,0,0,0,0,2,3,7,2,1,5,2,1
2021,2,12,5,2,2,1,10,0,2,1,2,0,1,4,0,3,1,2,1,4
2022,1,10,12,5,1,1,7,0,4,1,1,0,1,2,0,2,1,4,1,0
2023,2,8,4,5,0,0,10,0,1,1,2,0,1,4,0,4,2,1,4,5
2024,1,7,3,6,2,2,8,0,3,0,0,0,3,5,0,1,1,7,2,3
2025,0,7,3,8,0,1,9,0,3,1,2,1,4,6,0,2,1,4,1,1
